date,PM2.5,O3,CO,NO2,SO2,AQI_PM2.5,AQI_O3,AQI_CO,AQI_NO2,AQI_SO2,AQI,AQI_Category,num_pollutants_available
2011-03-24,8.499999999991562,0.030711125000017422,0.35057574999995167,15.63806824998819,1.837802387096467,35.0,28.0,4.0,15.0,3.0,35.0,Good,5
2011-03-25,7.399999999999683,0.025542499999963417,0.3180840000000253,14.215909000009505,1.968074129031266,31.0,24.0,4.0,13.0,3.0,31.0,Good,5
2011-03-26,9.49999999999503,0.0276305000000234,0.259170000000138,9.353030500001575,1.8957254516121251,40.0,26.0,3.0,9.0,3.0,40.0,Good,5
2011-03-27,6.5499999999883585,0.03984824999996712,0.2515977499998125,8.572159250012342,1.9489470967746525,27.0,37.0,3.0,8.0,3.0,37.0,Good,5
2011-03-28,3.619999999978948,0.03793012500001102,0.2620225000002142,11.245927750026647,1.9284076129042214,15.0,35.0,3.0,11.0,3.0,35.0,Good,5
2011-03-29,6.150000000014447,0.03502812499998464,0.2778695000000934,12.311160750002959,1.9737594838720112,26.0,32.0,3.0,12.0,3.0,32.0,Good,5
2011-03-30,5.649999999996617,0.03623850000002845,0.31950000000013823,16.370968500012886,2.1047024193529387,24.0,34.0,4.0,15.0,3.0,34.0,Good,5
2011-03-31,5.139999999987621,0.0376717499999128,0.39020650000006635,16.943181749985467,2.0942427419359926,21.0,35.0,4.0,16.0,3.0,35.0,Good,5
2011-04-01,5.999999999994725,0.036022625000001654,0.3534792500001545,14.469791500003325,1.5740592258068753,25.0,33.0,4.0,14.0,2.0,33.0,Good,5
2011-04-02,10.600000000007771,0.041193624999958864,0.3261697500000815,10.462689499994097,1.607930032257248,44.0,38.0,4.0,10.0,2.0,44.0,Good,5
2011-04-03,5.579999999993874,0.03547337500001816,0.3045127499987663,11.916193249990679,1.9390472903227438,23.0,33.0,3.0,11.0,3.0,33.0,Good,5
2011-04-04,11.800000000013917,0.0268133750000175,0.5255150000004033,26.645238000039722,2.0454761612887786,49.0,25.0,6.0,25.0,3.0,49.0,Good,5
2011-04-05,11.45000000000986,0.032970874999997984,0.40211000000033387,12.152193000008822,1.3775538064513733,48.0,31.0,5.0,11.0,2.0,48.0,Good,5
2011-04-06,4.1199999999893455,0.0370343749999355,0.29112074999962545,12.370987999965518,1.3587203870954851,17.0,34.0,3.0,12.0,2.0,34.0,Good,5
2011-04-07,6.200000000015092,0.03399774999996318,0.3865399999999805,17.719886250017773,2.408193032258188,26.0,31.0,4.0,17.0,3.0,31.0,Good,5
2011-04-08,7.400000000017785,0.034757749999998866,0.3918902499996712,18.815530499987712,2.0466957096769685,31.0,32.0,4.0,18.0,3.0,32.0,Good,5
2011-04-09,9.40000000003496,0.04016649999997715,0.3662012500013513,14.838541500001764,1.5056123225810476,39.0,37.0,4.0,14.0,2.0,39.0,Good,5
2011-04-10,9.150000000001071,0.046228750000048946,0.35139674999974946,11.068276500003629,1.9789202903218066,38.0,43.0,4.0,10.0,3.0,43.0,Good,5
