date_local,PM2.5,O3,CO,NO2,SO2,date,AQI_PM2.5,AQI_O3,AQI_CO,AQI_NO2,AQI_SO2,AQI,AQI_Category,num_pollutants_available
2009-04-19,6.2,0.044333,0.313043,14.909091,1.166667,2009-04-19,26.0,41.0,4.0,14.0,2.0,41.0,Good,5
2009-04-20,7.1,0.049,0.343478,18.75,1.0,2009-04-20,30.0,45.0,4.0,18.0,1.0,45.0,Good,5
2009-04-21,11.8,0.028588,0.508333,4.772727,1.3,2009-04-21,49.0,26.0,6.0,5.0,2.0,49.0,Good,5
2009-04-22,9.3,0.029882,0.266208,6.7619050000000005,1.208333,2009-04-22,39.0,28.0,3.0,6.0,2.0,39.0,Good,5
2009-04-23,5.8,0.036792,0.220261,13.681818,0.5125,2009-04-23,24.0,34.0,3.0,13.0,1.0,34.0,Good,5
2009-04-24,8.5,0.038235000000000005,0.280583,20.0,1.875,2009-04-24,35.0,35.0,3.0,19.0,3.0,35.0,Good,5
2009-04-25,14.8,0.05825,0.295833,11.083333,2.5,2009-04-25,57.0,62.0,3.0,10.0,4.0,62.0,Moderate,5
2009-04-26,10.8,0.048941000000000005,0.245833,12.818182,1.3,2009-04-26,45.0,45.0,3.0,12.0,2.0,45.0,Good,5
2009-04-27,12.8,0.030208,0.298625,21.75,1.0,2009-04-27,52.0,28.0,3.0,21.0,1.0,52.0,Moderate,5
2009-04-28,14.0,0.05575,0.395833,11.434783,2.4347830000000004,2009-04-28,55.0,53.0,4.0,11.0,3.0,55.0,Moderate,5
2009-04-29,5.9,0.045458,0.404348,15.625,0.916667,2009-04-29,25.0,42.0,5.0,15.0,1.0,42.0,Good,5
2009-04-30,8.1,0.051,0.25416700000000003,16.208333,2.5,2009-04-30,34.0,47.0,3.0,15.0,4.0,47.0,Good,5
2009-05-01,19.7,0.035333,0.2375,6.0,1.2,2009-05-01,67.0,33.0,3.0,6.0,2.0,67.0,Moderate,5
2009-05-02,10.5,0.029042,0.224043,16.045455,1.2,2009-05-02,44.0,27.0,3.0,15.0,2.0,44.0,Good,5
2009-05-03,8.5,0.030375,0.296739,15.208332999999998,1.5,2009-05-03,35.0,28.0,3.0,14.0,2.0,35.0,Good,5
2009-05-04,8.6,0.034882,0.325,23.4,1.5,2009-05-04,36.0,32.0,4.0,22.0,2.0,36.0,Good,5
2009-05-05,6.1,0.033292,0.225,8.541667,1.0,2009-05-05,25.0,31.0,3.0,8.0,1.0,31.0,Good,5
2009-05-06,5.3,0.02775,0.258333,3.25,1.45,2009-05-06,22.0,26.0,3.0,3.0,2.0,26.0,Good,5
2009-05-07,9.5,0.020235,0.56087,14.541667000000002,0.995833,2009-05-07,40.0,19.0,6.0,14.0,1.0,40.0,Good,5
2009-05-08,8.6,0.038706,0.293333,8.541667,0.75,2009-05-08,36.0,36.0,3.0,8.0,1.0,36.0,Good,5
2009-05-09,15.2,0.036412,0.308333,6.409091,1.42,2009-05-09,58.0,34.0,4.0,6.0,2.0,58.0,Moderate,5
2009-05-10,3.7,0.029208,0.16899999999999998,8.041667,0.354167,2009-05-10,15.0,27.0,2.0,8.0,1.0,27.0,Good,5
2009-05-11,3.9,0.021875,0.272739,8.458333,1.4,2009-05-11,16.0,20.0,3.0,8.0,2.0,20.0,Good,5
